phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,verified_bool,domain,route,domain_norm,target_norm,f_target_in_list,f_brand_in_url,f_spanish_hints,f_locale_es,f_euro_symbol,f_plus34,f_es_tld,es_score,path,route_norm
9154376,https://paypal.sevalhamzic.com/index.html,http://www.phishtank.com/phish_detail.php?phish_id=9154376,2025-07-14 01:01:47+00:00,yes,2025-07-25 08:51:46+00:00,yes,PayPal,True,paypal.sevalhamzic.com,/index.html,paypal.sevalhamzic.com,paypal,True,True,False,False,False,False,False,5,/index.html,/index.html
9150979,https://i-netflix.com,http://www.phishtank.com/phish_detail.php?phish_id=9150979,2025-07-09 13:47:57+00:00,yes,2025-07-09 21:22:22+00:00,yes,Netflix,True,i-netflix.com,/,i-netflix.com,netflix,True,True,False,False,False,False,False,5,,/
9145289,https://gtwky.caniqqm.es/f8qrRCRAr6P!lhN5Qx/*c3RlcGhhbmllLmRvZXp5QGFmdHJhbC5jb20=,http://www.phishtank.com/phish_detail.php?phish_id=9145289,2025-07-03 08:28:57+00:00,yes,2025-07-05 04:52:02+00:00,yes,Microsoft,True,gtwky.caniqqm.es,/f8qrrcrar6p!lhn5qx/*c3rlcghhbmlllmrvzxp5qgfmdhjhbc5jb20=,gtwky.caniqqm.es,microsoft,True,False,False,False,False,False,True,4,/f8qrRCRAr6P!lhN5Qx/*c3RlcGhhbmllLmRvZXp5QGFmdHJhbC5jb20=,/f8qrrcrar6p!lhn5qx/*c3rlcghhbmlllmrvzxp5qgfmdhjhbc5jb20=
9141987,https://www.gwenet.org/office,http://www.phishtank.com/phish_detail.php?phish_id=9141987,2025-06-30 09:57:57+00:00,yes,2025-06-30 10:02:38+00:00,yes,Microsoft,True,www.gwenet.org,/office/,www.gwenet.org,microsoft,True,True,False,False,False,False,False,5,/office,/office/
9133780,https://crelosa.app/lnn/dhl-new%20(1).html,http://www.phishtank.com/phish_detail.php?phish_id=9133780,2025-06-21 09:29:51+00:00,yes,2025-06-21 09:32:18+00:00,yes,DHL,True,crelosa.app,/lnn/dhl-new%20(1).html,crelosa.app,dhl,True,True,False,False,False,False,False,5,/lnn/dhl-new%20(1).html,/lnn/dhl-new%20(1).html
9121820,https://www.binance.com.loginsn.cc,http://www.phishtank.com/phish_detail.php?phish_id=9121820,2025-06-08 05:01:06+00:00,yes,2025-06-08 05:02:57+00:00,yes,Binance,True,www.binance.com.loginsn.cc,/,www.binance.com.loginsn.cc,binance,True,True,False,False,False,False,False,5,,/
9117167,https://fdyprnwbs4plb-pages-dev.translate.goog/acount.apple.com.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9117167,2025-06-03 00:50:08+00:00,yes,2025-06-03 00:51:49+00:00,yes,Apple,True,fdyprnwbs4plb-pages-dev.translate.goog,/acount.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,fdyprnwbs4plb-pages-dev.translate.goog,apple,True,True,False,False,False,False,False,5,/acount.apple.com.html,/acount.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9112860,https://326462-coinbase.com,http://www.phishtank.com/phish_detail.php?phish_id=9112860,2025-05-28 21:23:42+00:00,yes,2025-05-29 12:42:10+00:00,yes,Coinbase,True,326462-coinbase.com,/,326462-coinbase.com,coinbase,True,True,False,False,False,False,False,5,,/
9109520,https://oscxjeni43zz-pages-dev.translate.goog/amazon.co.jp.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9109520,2025-05-26 00:55:09+00:00,yes,2025-05-26 01:02:48+00:00,yes,Amazon.com,True,oscxjeni43zz-pages-dev.translate.goog,/amazon.co.jp.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,oscxjeni43zz-pages-dev.translate.goog,amazon.com,True,True,False,False,False,False,False,5,/amazon.co.jp.html,/amazon.co.jp.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9109499,https://6oqiwppin3g4-pages-dev.translate.goog/support.apple.com.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9109499,2025-05-26 00:44:20+00:00,yes,2025-05-26 00:51:57+00:00,yes,Apple,True,6oqiwppin3g4-pages-dev.translate.goog,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,6oqiwppin3g4-pages-dev.translate.goog,apple,True,True,False,False,False,False,False,5,/support.apple.com.html,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9109497,https://mh5q6t0ro5iws-pages-dev.translate.goog/apple.com.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9109497,2025-05-26 00:43:25+00:00,yes,2025-05-26 00:51:57+00:00,yes,Apple,True,mh5q6t0ro5iws-pages-dev.translate.goog,/apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,mh5q6t0ro5iws-pages-dev.translate.goog,apple,True,True,False,False,False,False,False,5,/apple.com.html,/apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9109494,https://y53a09txb5ntt-pages-dev.translate.goog/apple.com.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9109494,2025-05-26 00:43:00+00:00,yes,2025-05-26 00:51:57+00:00,yes,Apple,True,y53a09txb5ntt-pages-dev.translate.goog,/apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,y53a09txb5ntt-pages-dev.translate.goog,apple,True,True,False,False,False,False,False,5,/apple.com.html,/apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9091401,https://q-r.to/Multa-DGT,http://www.phishtank.com/phish_detail.php?phish_id=9091401,2025-05-07 23:14:25+00:00,yes,2025-05-07 23:21:59+00:00,yes,Other,True,q-r.to,/multa-dgt,q-r.to,other,False,True,True,False,False,False,False,4,/Multa-DGT,/multa-dgt
9089755,https://b9xja.dgnsvwrk.es/DwD9I@prmk4JYY2V/*toto@microsoft.com,http://www.phishtank.com/phish_detail.php?phish_id=9089755,2025-05-07 12:59:58+00:00,yes,2025-05-22 14:11:55+00:00,yes,Microsoft,True,b9xja.dgnsvwrk.es,/dwd9i@prmk4jyy2v/*toto@microsoft.com,b9xja.dgnsvwrk.es,microsoft,True,False,False,False,False,False,True,4,/DwD9I@prmk4JYY2V/*toto@microsoft.com,/dwd9i@prmk4jyy2v/*toto@microsoft.com
9089727,https://b9xja.dgnsvwrk.es/iyfdfqbqbjrhlvlfboybebr0y599kjr6fd0vrf1d966n9m609d?JJXTBWNUBZQMDPU=,http://www.phishtank.com/phish_detail.php?phish_id=9089727,2025-05-07 12:18:00+00:00,yes,2025-05-22 14:11:55+00:00,yes,Microsoft,True,b9xja.dgnsvwrk.es,/iyfdfqbqbjrhlvlfboybebr0y599kjr6fd0vrf1d966n9m609d?jjxtbwnubzqmdpu,b9xja.dgnsvwrk.es,microsoft,True,False,False,False,False,False,True,4,/iyfdfqbqbjrhlvlfboybebr0y599kjr6fd0vrf1d966n9m609d,/iyfdfqbqbjrhlvlfboybebr0y599kjr6fd0vrf1d966n9m609d?jjxtbwnubzqmdpu
9089477,https://ggwdd3d114-pages-dev.translate.goog/support.apple.com.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9089477,2025-05-07 01:50:54+00:00,yes,2025-05-07 02:02:48+00:00,yes,Apple,True,ggwdd3d114-pages-dev.translate.goog,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,ggwdd3d114-pages-dev.translate.goog,apple,True,True,False,False,False,False,False,5,/support.apple.com.html,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9089476,https://b1xs4tcoi9h2-pages-dev.translate.goog/support.apple.com.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9089476,2025-05-07 01:50:31+00:00,yes,2025-05-07 02:02:48+00:00,yes,Apple,True,b1xs4tcoi9h2-pages-dev.translate.goog,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,b1xs4tcoi9h2-pages-dev.translate.goog,apple,True,True,False,False,False,False,False,5,/support.apple.com.html,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9089475,https://5sew2kxqx4qb-pages-dev.translate.goog/support.apple.com.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9089475,2025-05-07 01:49:49+00:00,yes,2025-05-07 02:02:48+00:00,yes,Apple,True,5sew2kxqx4qb-pages-dev.translate.goog,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,5sew2kxqx4qb-pages-dev.translate.goog,apple,True,True,False,False,False,False,False,5,/support.apple.com.html,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9089474,https://cthm43ff0h77-pages-dev.translate.goog/support.apple.com.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9089474,2025-05-07 01:49:29+00:00,yes,2025-05-07 02:02:48+00:00,yes,Apple,True,cthm43ff0h77-pages-dev.translate.goog,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,cthm43ff0h77-pages-dev.translate.goog,apple,True,True,False,False,False,False,False,5,/support.apple.com.html,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9089472,https://q6oiqoze74oj-pages-dev.translate.goog/support.apple.com.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9089472,2025-05-07 01:48:11+00:00,yes,2025-05-07 01:52:02+00:00,yes,Apple,True,q6oiqoze74oj-pages-dev.translate.goog,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,q6oiqoze74oj-pages-dev.translate.goog,apple,True,True,False,False,False,False,False,5,/support.apple.com.html,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9089469,https://2hbifq9ks2wt-pages-dev.translate.goog/support.apple.com.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9089469,2025-05-07 01:46:33+00:00,yes,2025-05-07 01:52:02+00:00,yes,Apple,True,2hbifq9ks2wt-pages-dev.translate.goog,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,2hbifq9ks2wt-pages-dev.translate.goog,apple,True,True,False,False,False,False,False,5,/support.apple.com.html,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9089465,https://mikjv2zuc2ct-pages-dev.translate.goog/support.apple.com.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9089465,2025-05-07 01:45:32+00:00,yes,2025-05-07 01:52:02+00:00,yes,Apple,True,mikjv2zuc2ct-pages-dev.translate.goog,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,mikjv2zuc2ct-pages-dev.translate.goog,apple,True,True,False,False,False,False,False,5,/support.apple.com.html,/support.apple.com.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9089459,https://mpw8c0m2l6fl-pages-dev.translate.goog/amazon.co.jp.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9089459,2025-05-07 01:40:24+00:00,yes,2025-05-07 01:52:02+00:00,yes,Amazon.com,True,mpw8c0m2l6fl-pages-dev.translate.goog,/amazon.co.jp.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,mpw8c0m2l6fl-pages-dev.translate.goog,amazon.com,True,True,False,False,False,False,False,5,/amazon.co.jp.html,/amazon.co.jp.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9089457,https://n2xn8lqqjzek-pages-dev.translate.goog/amazon.co.jp.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9089457,2025-05-07 01:39:55+00:00,yes,2025-05-07 01:41:36+00:00,yes,Amazon.com,True,n2xn8lqqjzek-pages-dev.translate.goog,/amazon.co.jp.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,n2xn8lqqjzek-pages-dev.translate.goog,amazon.com,True,True,False,False,False,False,False,5,/amazon.co.jp.html,/amazon.co.jp.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9089455,https://txijmwi5ogd2-pages-dev.translate.goog/amazon.co.jp.html?_x_tr_sch=&amp%3B_x_tr_sl=monex&amp%3B_x_tr_tl=ja,http://www.phishtank.com/phish_detail.php?phish_id=9089455,2025-05-07 01:39:24+00:00,yes,2025-05-07 01:41:36+00:00,yes,Amazon.com,True,txijmwi5ogd2-pages-dev.translate.goog,/amazon.co.jp.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja,txijmwi5ogd2-pages-dev.translate.goog,amazon.com,True,True,False,False,False,False,False,5,/amazon.co.jp.html,/amazon.co.jp.html?_x_tr_sch=&amp;_x_tr_sl=monex&amp;_x_tr_tl=ja
9038434,https://cloudonlinemicrosoreft.de/sharing/fedex/index.html#webmaster@cuni.cz,http://www.phishtank.com/phish_detail.php?phish_id=9038434,2025-03-29 06:54:14+00:00,yes,2025-05-03 23:11:58+00:00,yes,Microsoft,True,cloudonlinemicrosoreft.de,/sharing/fedex/index.html,cloudonlinemicrosoreft.de,microsoft,True,True,False,False,False,False,False,5,/sharing/fedex/index.html,/sharing/fedex/index.html
8950033,https://ing.movil-inicios-es.com/A8lQQkpe8aUKtxQm/login0,http://www.phishtank.com/phish_detail.php?phish_id=8950033,2025-01-25 16:13:16+00:00,yes,2025-01-25 16:22:16+00:00,yes,ING Direct,True,ing.movil-inicios-es.com,/a8lqqkpe8auktxqm/login0,ing.movil-inicios-es.com,ing direct,True,True,False,False,False,False,False,5,/A8lQQkpe8aUKtxQm/login0,/a8lqqkpe8auktxqm/login0
8949928,https://netflix-seguro.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=8949928,2025-01-25 13:05:43+00:00,yes,2025-01-25 13:12:06+00:00,yes,Netflix,True,netflix-seguro.com,/index.php,netflix-seguro.com,netflix,True,True,False,False,False,False,False,5,/index.php,/index.php
8949926,https://netflix-seguro.com,http://www.phishtank.com/phish_detail.php?phish_id=8949926,2025-01-25 13:05:22+00:00,yes,2025-01-25 13:12:06+00:00,yes,Netflix,True,netflix-seguro.com,,netflix-seguro.com,netflix,True,True,False,False,False,False,False,5,,
8940903,https://coinbase-mywallet.com/setup,http://www.phishtank.com/phish_detail.php?phish_id=8940903,2025-01-16 18:38:21+00:00,yes,2025-01-16 18:52:17+00:00,yes,Coinbase,True,coinbase-mywallet.com,/setup,coinbase-mywallet.com,coinbase,True,True,False,False,False,False,False,5,/setup,/setup
8937779,https://www.ing-appmovil-inicio.com,http://www.phishtank.com/phish_detail.php?phish_id=8937779,2025-01-13 20:34:30+00:00,yes,2025-01-13 20:41:54+00:00,yes,ING Direct,True,www.ing-appmovil-inicio.com,,www.ing-appmovil-inicio.com,ing direct,True,True,False,False,False,False,False,5,,
8926712,https://www.ing-web-inicios.com,http://www.phishtank.com/phish_detail.php?phish_id=8926712,2025-01-03 13:02:37+00:00,yes,2025-01-03 13:11:49+00:00,yes,ING Direct,True,www.ing-web-inicios.com,,www.ing-web-inicios.com,ing direct,True,True,False,False,False,False,False,5,,
8921397,https://www.ing-es-movil.com,http://www.phishtank.com/phish_detail.php?phish_id=8921397,2024-12-28 13:44:28+00:00,yes,2024-12-28 13:51:44+00:00,yes,ING Direct,True,www.ing-es-movil.com,,www.ing-es-movil.com,ing direct,True,True,False,False,False,False,False,5,,
8853565,https://www.google.com/url?q=https%3A%2F%2Fl.wl.co%2Fl%3Fu%3Dhttps%3A%2F%2Fs.pangkalpinangkota.go.id%2Frf37E&amp%3Bsa=D&amp%3Bsource=editors&amp%3Bust=1731663155736683&amp%3Busg=AOvVaw1ZMVeHyxOCZKPtjuwAzsJz,http://www.phishtank.com/phish_detail.php?phish_id=8853565,2024-11-15 08:34:21+00:00,yes,2024-11-15 08:52:20+00:00,yes,Amazon.com,True,www.google.com,/url?q=https://l.wl.co/l?u%3dhttps://s.pangkalpinangkota.go.id/rf37e&amp;sa=d&amp;source=editors&amp;ust=1731663155736683&amp;usg=aovvaw1zmvehyxoczkptjuwazsjz,www.google.com,amazon.com,True,True,False,False,False,False,False,5,/url,/url?q=https://l.wl.co/l?u%3dhttps://s.pangkalpinangkota.go.id/rf37e&amp;sa=d&amp;source=editors&amp;ust=1731663155736683&amp;usg=aovvaw1zmvehyxoczkptjuwazsjz
8831613,https://br.pinterest.com/bancoitau2via,http://www.phishtank.com/phish_detail.php?phish_id=8831613,2024-11-02 14:31:03+00:00,yes,2024-11-10 19:21:53+00:00,yes,Other,True,br.pinterest.com,/bancoitau2via,br.pinterest.com,other,False,True,True,False,False,False,False,4,/bancoitau2via,/bancoitau2via
8828570,https://supercaracol.ar/wp-content/plugins/akismet/dgt/ddgg/cold/cc.php,http://www.phishtank.com/phish_detail.php?phish_id=8828570,2024-10-31 17:15:47+00:00,yes,2024-10-31 17:22:27+00:00,yes,Other,True,supercaracol.ar,/wp-content/plugins/akismet/dgt/ddgg/cold/cc.php,supercaracol.ar,other,False,True,True,False,False,False,False,4,/wp-content/plugins/akismet/dgt/ddgg/cold/cc.php,/wp-content/plugins/akismet/dgt/ddgg/cold/cc.php
8801732,https://account.booking.com/sign-in?op_token=EgVvYXV0aCKyAQoUNlo3Mm9IT2QzNk5uN3prM3BpcmgSCWF1dGhvcml6ZRoaaHR0cHM6Ly9hZG1pbi5ib29raW5nLmNvbS8qOnsiYXV0aF9hdHRlbXB0X2lkIjoiMzY0NWE1NDgtMzMwZi00ODAzLWJiZjItZDAxZWRhODIzMzAxIn0yK2ZUZk9yMmxnRG1Yd0FYUlJPcEFOT2l5TmpqVFpuMU9mZ1JpWU1rWkI4cVE6BFMyNTZCBGNvZGUqEzDA1e3v_6YnOgBCAFisvoS0pzI,http://www.phishtank.com/phish_detail.php?phish_id=8801732,2024-10-10 14:25:31+00:00,yes,2024-10-10 14:33:37+00:00,yes,Other,True,account.booking.com,/sign-in?op_token=egvvyxv0ackyaqounlo3mm9it2qznk5un3prm3bpcmgscwf1dghvcml6zroaahr0chm6ly9hzg1pbi5ib29raw5nlmnvbs8qonsiyxv0af9hdhrlbxb0x2lkijoimzy0nwe1ndgtmzmwzi00odazlwjizjitzdaxzwrhodizmzaxin0yk2zuzk9ymmxnrg1yd0fyuljpcefot2l5tmpqvfpumu9mz1jpwu1rwki4cve6bfmyntzcbgnvzguqezda1e3v_6ynogbcafisvos0pzi,account.booking.com,other,False,True,True,False,False,False,False,4,/sign-in,/sign-in?op_token=egvvyxv0ackyaqounlo3mm9it2qznk5un3prm3bpcmgscwf1dghvcml6zroaahr0chm6ly9hzg1pbi5ib29raw5nlmnvbs8qonsiyxv0af9hdhrlbxb0x2lkijoimzy0nwe1ndgtmzmwzi00odazlwjizjitzdaxzwrhodizmzaxin0yk2zuzk9ymmxnrg1yd0fyuljpcefot2l5tmpqvfpumu9mz1jpwu1rwki4cve6bfmyntzcbgnvzguqezda1e3v_6ynogbcafisvos0pzi
8793811,https://cn83141.tw1.ru/DGT,http://www.phishtank.com/phish_detail.php?phish_id=8793811,2024-10-04 18:54:45+00:00,yes,2024-10-04 19:04:07+00:00,yes,Other,True,cn83141.tw1.ru,/dgt,cn83141.tw1.ru,other,False,True,True,False,False,False,False,4,/DGT,/dgt
8743103,https://seguridad-ingclientes.com/es,http://www.phishtank.com/phish_detail.php?phish_id=8743103,2024-09-04 17:52:33+00:00,yes,2024-09-04 19:23:15+00:00,yes,ING Direct,True,seguridad-ingclientes.com,/es/,seguridad-ingclientes.com,ing direct,True,True,False,True,False,False,False,6,/es,/es/
8740278,https://outlook-pswgs.formstack.com/forms/outlook_2024,http://www.phishtank.com/phish_detail.php?phish_id=8740278,2024-09-02 11:58:21+00:00,yes,2024-09-03 02:53:00+00:00,yes,Microsoft,True,outlook-pswgs.formstack.com,/forms/outlook_2024,outlook-pswgs.formstack.com,microsoft,True,True,False,False,False,False,False,5,/forms/outlook_2024,/forms/outlook_2024
8733229,https://extremas.com.ar/styles/ccDGT/DGT,http://www.phishtank.com/phish_detail.php?phish_id=8733229,2024-08-27 17:55:47+00:00,yes,2024-08-27 18:04:19+00:00,yes,Other,True,extremas.com.ar,/styles/ccdgt/dgt/,extremas.com.ar,other,False,True,True,False,False,False,False,4,/styles/ccDGT/DGT,/styles/ccdgt/dgt/
